request_id,citizen_id,submission_date,request_type,department,priority_level,location_district,response_time_hours,citizen_satisfaction,resolved
REQ000001,CIT00182,2024-02-19,Parking Issue,Transportation,Medium,Lakewood,97.9,2.6,True
REQ000002,CIT00240,2024-08-04,Property Assessment,Building & Safety,High,Southside,25.2,3.5,False
REQ000003,CIT00032,2024-01-28,Water Main Break,Utilities,Critical,Southside,2.6,4.8,True
REQ000004,CIT00056,2024-07-25,Sidewalk Repair,Public Works,High,Industrial,43.9,3.3,True
REQ000005,CIT00098,2024-05-07,Street Light Outage,Public Works,High,Downtown,26.7,3.9,True
REQ000006,CIT00072,2024-10-01,Property Assessment,Building & Safety,Low,Midtown,324.7,2.6,False
REQ000007,CIT00143,2024-08-04,Crosswalk Request,Transportation,Low,Downtown,228.1,3.3,True
REQ000008,CIT00039,2024-08-24,Street Light Outage,Public Works,Medium,Eastgate,69.3,3.7,True
REQ000009,CIT00051,2024-08-14,Composting Program,Environmental Services,Critical,Eastgate,11.1,1.5,True
REQ000010,CIT00008,2024-01-26,Tree Trimming,Parks & Recreation,Medium,Harbor,101.3,3.1,True
REQ000011,CIT00086,2024-02-17,Property Violation,Code Enforcement,Medium,Eastgate,90.2,3.1,True
REQ000012,CIT00247,2024-07-27,Meter Reading,Utilities,Low,Lakewood,297.7,3.3,True
REQ000013,CIT00031,2024-04-19,Parking Issue,Transportation,Low,Industrial,205.2,3.8,True
REQ000014,CIT00002,2024-03-25,Meter Reading,Utilities,Low,Lakewood,188.6,3.5,True
REQ000015,CIT00233,2024-07-18,Sidewalk Repair,Public Works,Low,Lakewood,133.5,4.8,True
REQ000016,CIT00285,2024-05-26,Facility Booking,Parks & Recreation,High,Southside,17.4,4.3,False
REQ000017,CIT00080,2024-12-04,Property Assessment,Building & Safety,High,Midtown,27.6,4.4,True
REQ000018,CIT00112,2024-04-07,Permit Inspection,Permits & Licensing,Low,Lakewood,226.7,3.9,True
REQ000019,CIT00278,2024-01-30,Composting Program,Environmental Services,Low,Northside,274.0,3.2,False
REQ000020,CIT00030,2024-02-01,Illegal Dumping,Environmental Services,Critical,Lakewood,5.0,3.6,True
REQ000021,CIT00245,2024-01-26,Service Connection,Utilities,Low,Southside,375.7,1.6,True
REQ000022,CIT00081,2024-09-14,Tree Trimming,Parks & Recreation,Medium,Southside,63.7,3.9,False
REQ000023,CIT00042,2024-01-30,Graffiti Removal,Code Enforcement,Low,Highland,222.0,4.4,True
REQ000024,CIT00035,2024-04-05,Water Main Break,Utilities,Critical,Southside,4.1,4.7,True
REQ000025,CIT00207,2024-12-11,Sewer Backup,Utilities,High,Lakewood,19.2,4.9,True
REQ000026,CIT00297,2024-03-02,Safety Violation,Building & Safety,Medium,Downtown,85.1,2.8,False
REQ000027,CIT00042,2024-10-31,Pothole Repair,Public Works,Medium,Southside,51.2,4.4,True
REQ000028,CIT00290,2024-08-02,Bike Lane Request,Transportation,Medium,Riverside,48.7,4.5,False
REQ000029,CIT00134,2024-09-24,Bus Stop Concern,Transportation,Medium,Southside,127.7,1.8,False
REQ000030,CIT00123,2024-04-14,Sidewalk Repair,Public Works,Low,Industrial,304.9,2.8,True
REQ000031,CIT00068,2024-05-15,Facility Booking,Parks & Recreation,High,Westbrook,24.5,3.9,True
REQ000032,CIT00235,2024-12-09,Trail Repair,Parks & Recreation,Medium,Harbor,109.8,3.4,True
REQ000033,CIT00005,2024-06-10,Trash Collection,Environmental Services,Medium,Eastgate,69.8,3.6,True
REQ000034,CIT00289,2024-08-22,Tree Trimming,Parks & Recreation,Medium,Lakewood,82.1,3.6,False
REQ000035,CIT00276,2024-02-21,Permit Application,Permits & Licensing,High,Harbor,40.7,2.6,True
REQ000036,CIT00136,2024-04-19,Tree Trimming,Parks & Recreation,Low,Downtown,254.4,3.3,True
REQ000037,CIT00036,2024-03-08,Sidewalk Repair,Public Works,High,Highland,26.0,4.2,True
REQ000038,CIT00146,2024-05-05,Construction Complaint,Building & Safety,Critical,Southside,8.5,3.2,True
REQ000039,CIT00279,2024-03-21,Road Damage,Public Works,Low,Highland,216.7,3.6,False
REQ000040,CIT00271,2024-12-26,Bus Stop Concern,Transportation,Low,Westbrook,266.8,2.6,True
REQ000041,CIT00154,2024-01-05,Composting Program,Environmental Services,Medium,Riverside,79.2,3.5,True
REQ000042,CIT00069,2024-12-05,Traffic Signal Issue,Transportation,High,Downtown,42.4,3.5,True
REQ000043,CIT00055,2024-05-15,Noise Complaint,Code Enforcement,Low,Harbor,208.9,4.5,True
REQ000044,CIT00140,2024-10-10,License Renewal,Permits & Licensing,Medium,Southside,93.7,2.6,True
REQ000045,CIT00108,2024-05-24,Event Permit,Permits & Licensing,Low,Industrial,405.6,2.4,True
REQ000046,CIT00136,2024-06-24,License Renewal,Permits & Licensing,High,Northside,29.2,4.2,True
REQ000047,CIT00129,2024-09-15,Meter Reading,Utilities,Medium,Northside,88.7,3.3,True
REQ000048,CIT00217,2024-01-27,Pothole Repair,Public Works,Low,Southside,342.1,2.0,True
REQ000049,CIT00002,2024-05-21,Building Inspection,Building & Safety,High,Lakewood,15.4,4.4,True
REQ000050,CIT00135,2024-06-19,Crosswalk Request,Transportation,Medium,Downtown,68.8,3.9,False
REQ000051,CIT00283,2024-03-23,Business License,Permits & Licensing,Low,Industrial,223.9,4.3,False
REQ000052,CIT00288,2024-12-27,Business License,Permits & Licensing,Medium,Southside,112.6,3.1,True
REQ000053,CIT00039,2024-01-05,Water Main Break,Utilities,High,Northside,45.1,1.2,True
REQ000054,CIT00280,2024-12-19,Playground Equipment,Parks & Recreation,Low,Downtown,157.8,4.9,True
REQ000055,CIT00299,2024-01-19,Permit Inspection,Permits & Licensing,Medium,Eastgate,89.8,3.0,True
REQ000056,CIT00221,2024-10-09,Playground Equipment,Parks & Recreation,Medium,Midtown,116.1,3.4,True
REQ000057,CIT00158,2024-03-06,Trash Collection,Environmental Services,Medium,Westbrook,62.7,4.1,True
REQ000058,CIT00184,2024-07-05,Building Inspection,Building & Safety,High,Northside,14.6,4.1,False
REQ000059,CIT00053,2024-04-17,Crosswalk Request,Transportation,Medium,Midtown,108.2,2.8,True
REQ000060,CIT00209,2024-06-30,Composting Program,Environmental Services,Medium,Northside,111.1,3.0,True
REQ000061,CIT00122,2024-11-13,Crosswalk Request,Transportation,Low,Downtown,285.4,2.5,True
REQ000062,CIT00212,2024-03-24,Crosswalk Request,Transportation,Low,Harbor,184.2,3.8,True
REQ000063,CIT00171,2024-01-13,Street Light Outage,Public Works,Critical,Harbor,5.0,4.2,False
REQ000064,CIT00137,2024-07-29,Crosswalk Request,Transportation,Medium,Southside,123.6,2.7,True
REQ000065,CIT00196,2024-03-22,Noise Complaint,Code Enforcement,High,Harbor,43.8,3.1,True
REQ000066,CIT00114,2024-01-20,Road Damage,Public Works,Medium,Lakewood,60.0,4.3,True
REQ000067,CIT00180,2024-04-12,Business License,Permits & Licensing,Low,Southside,272.1,3.2,True
REQ000068,CIT00115,2024-06-05,Street Light Outage,Public Works,High,Westbrook,25.3,4.4,False
REQ000069,CIT00205,2024-01-13,Sewer Backup,Utilities,Critical,Westbrook,11.2,2.0,True
REQ000070,CIT00036,2024-06-17,Zoning Issue,Code Enforcement,Low,Midtown,162.2,3.8,True
REQ000071,CIT00261,2024-05-22,Permit Inspection,Permits & Licensing,High,Lakewood,38.2,3.1,False
REQ000072,CIT00170,2024-07-23,Bike Lane Request,Transportation,Medium,Northside,104.6,3.2,True
REQ000073,CIT00134,2024-01-15,Pothole Repair,Public Works,High,Downtown,37.3,3.5,True
REQ000074,CIT00136,2024-04-01,Tree Trimming,Parks & Recreation,High,Midtown,31.7,3.5,True
REQ000075,CIT00223,2024-01-20,Traffic Signal Issue,Transportation,Critical,Midtown,3.8,4.8,True
REQ000076,CIT00224,2024-06-25,Construction Complaint,Building & Safety,Low,Midtown,154.0,4.3,True
REQ000077,CIT00060,2024-11-06,Graffiti Removal,Code Enforcement,Medium,Industrial,78.4,4.1,False
REQ000078,CIT00098,2024-07-16,Graffiti Removal,Code Enforcement,Low,Lakewood,131.2,4.5,True
REQ000079,CIT00224,2024-05-10,Building Inspection,Building & Safety,Medium,Highland,72.1,4.2,True
REQ000080,CIT00276,2024-01-01,Storm Drain Issue,Public Works,High,Southside,33.3,2.8,True
REQ000081,CIT00187,2024-12-17,Safety Violation,Building & Safety,Critical,Highland,8.7,3.1,True
REQ000082,CIT00170,2024-08-08,Traffic Signal Issue,Transportation,Critical,Downtown,4.8,4.3,True
REQ000083,CIT00064,2024-11-15,Permit Inspection,Permits & Licensing,Low,Westbrook,158.7,5.0,True
REQ000084,CIT00159,2024-06-02,Bike Lane Request,Transportation,High,Lakewood,27.2,3.8,True
REQ000085,CIT00168,2024-12-07,Facility Booking,Parks & Recreation,Low,Westbrook,178.0,3.8,True
REQ000086,CIT00284,2024-07-25,Permit Inspection,Permits & Licensing,Medium,Downtown,53.4,5.0,True
REQ000087,CIT00216,2024-03-06,Street Light Outage,Public Works,High,Highland,35.3,2.8,True
REQ000088,CIT00090,2024-12-06,Business License,Permits & Licensing,Low,Lakewood,272.6,3.1,True
REQ000089,CIT00155,2024-11-11,Tree Trimming,Parks & Recreation,Medium,Midtown,116.2,2.6,True
REQ000090,CIT00001,2024-07-26,Event Permit,Permits & Licensing,High,Midtown,19.3,4.6,True
REQ000091,CIT00108,2024-06-04,Water Quality,Utilities,Medium,Downtown,90.0,2.8,True
REQ000092,CIT00165,2024-08-08,Event Permit,Permits & Licensing,Medium,Midtown,61.6,4.2,False
REQ000093,CIT00227,2024-08-26,Road Damage,Public Works,Low,Eastgate,140.0,4.7,False
REQ000094,CIT00262,2024-12-11,Crosswalk Request,Transportation,Low,Eastgate,276.3,2.5,True
REQ000095,CIT00044,2024-08-30,Sewer Backup,Utilities,Critical,Northside,9.1,2.6,True
REQ000096,CIT00172,2024-05-25,Graffiti Removal,Code Enforcement,High,Downtown,20.9,4.2,True
REQ000097,CIT00159,2024-02-17,Playground Equipment,Parks & Recreation,Low,Westbrook,278.3,3.1,True
REQ000098,CIT00076,2024-04-25,Street Light Outage,Public Works,Critical,Midtown,10.1,3.3,False
REQ000099,CIT00126,2024-01-13,Traffic Signal Issue,Transportation,High,Highland,38.7,3.2,True
REQ000100,CIT00038,2024-08-31,Storm Drain Issue,Public Works,Medium,University,90.1,3.0,True
REQ000101,CIT00295,2024-08-21,Property Assessment,Building & Safety,High,Highland,40.3,3.0,True
REQ000102,CIT00254,2024-04-09,Facility Booking,Parks & Recreation,High,Eastgate,27.9,4.1,False
REQ000103,CIT00076,2024-07-23,Street Light Outage,Public Works,Critical,Southside,6.4,3.8,True
REQ000104,CIT00055,2024-12-01,Pothole Repair,Public Works,Medium,University,55.6,4.8,True
REQ000105,CIT00091,2024-08-05,Sewer Backup,Utilities,High,Northside,17.8,4.1,True
REQ000106,CIT00238,2024-12-22,Service Connection,Utilities,High,Midtown,36.7,2.6,True
REQ000107,CIT00063,2024-01-26,Safety Violation,Building & Safety,High,Westbrook,31.3,2.9,True
REQ000108,CIT00238,2024-08-21,Property Violation,Code Enforcement,High,Southside,57.7,1.5,True
REQ000109,CIT00287,2024-12-07,Bike Lane Request,Transportation,Critical,Midtown,3.0,4.4,True
REQ000110,CIT00227,2024-10-31,Bus Stop Concern,Transportation,Low,Midtown,266.2,3.3,False
REQ000111,CIT00219,2024-11-09,Composting Program,Environmental Services,Medium,Highland,59.5,4.2,True
REQ000112,CIT00082,2024-10-07,Meter Reading,Utilities,Low,Downtown,155.7,4.0,True
REQ000113,CIT00133,2024-08-31,Hazardous Waste,Environmental Services,Medium,Northside,54.0,4.0,True
REQ000114,CIT00267,2024-05-06,Zoning Issue,Code Enforcement,Low,Southside,152.3,4.5,True
REQ000115,CIT00141,2024-09-05,Playground Equipment,Parks & Recreation,Low,Eastgate,170.6,3.7,False
REQ000116,CIT00147,2024-08-13,Water Main Break,Utilities,High,Eastgate,27.4,4.0,True
REQ000117,CIT00172,2024-04-30,Illegal Dumping,Environmental Services,Low,Westbrook,209.0,4.4,True
REQ000118,CIT00042,2024-06-12,Bike Lane Request,Transportation,Low,Riverside,145.3,4.3,True
REQ000119,CIT00119,2024-03-11,Sewer Backup,Utilities,High,Eastgate,44.2,2.7,True
REQ000120,CIT00110,2024-07-15,Crosswalk Request,Transportation,Low,Industrial,154.1,4.6,True
REQ000121,CIT00209,2024-02-02,Meter Reading,Utilities,Low,Downtown,276.3,3.0,False
REQ000122,CIT00239,2024-06-18,Graffiti Removal,Code Enforcement,High,Westbrook,24.0,4.3,True
REQ000123,CIT00106,2024-07-31,Pothole Repair,Public Works,High,Midtown,28.8,3.6,True
REQ000124,CIT00300,2024-08-03,Hazardous Waste,Environmental Services,Critical,Northside,2.7,4.9,True
REQ000125,CIT00295,2024-12-22,Traffic Signal Issue,Transportation,Critical,Downtown,8.5,2.6,True
REQ000126,CIT00004,2024-07-13,Hazardous Waste,Environmental Services,Medium,Harbor,96.8,2.7,True
REQ000127,CIT00200,2024-06-29,Construction Complaint,Building & Safety,Low,Southside,268.1,3.2,True
REQ000128,CIT00280,2024-08-02,Storm Drain Issue,Public Works,Low,Highland,224.5,3.5,True
REQ000129,CIT00250,2024-11-04,Recycling Issue,Environmental Services,Medium,Downtown,103.2,3.1,True
REQ000130,CIT00224,2024-04-22,Illegal Dumping,Environmental Services,High,Westbrook,17.1,4.7,True
REQ000131,CIT00200,2024-09-05,Trash Collection,Environmental Services,Low,Northside,312.3,3.2,False
REQ000132,CIT00085,2024-06-21,Hazardous Waste,Environmental Services,Medium,Highland,112.0,3.1,True
REQ000133,CIT00274,2024-08-27,Street Light Outage,Public Works,High,Lakewood,21.8,3.7,True
REQ000134,CIT00289,2024-01-14,Facility Booking,Parks & Recreation,Low,Eastgate,316.1,3.0,True
REQ000135,CIT00043,2024-12-05,Pothole Repair,Public Works,Medium,Eastgate,107.2,3.2,True
REQ000136,CIT00070,2024-11-25,Facility Booking,Parks & Recreation,Medium,Southside,137.7,1.5,True
REQ000137,CIT00026,2024-08-24,Street Light Outage,Public Works,Critical,Northside,8.0,2.8,True
REQ000138,CIT00168,2024-05-13,Hazardous Waste,Environmental Services,High,Industrial,19.3,4.7,True
REQ000139,CIT00168,2024-04-18,Parking Issue,Transportation,Low,Southside,160.9,3.7,True
REQ000140,CIT00143,2024-06-21,Road Damage,Public Works,Medium,Southside,142.7,1.5,False
REQ000141,CIT00042,2024-08-03,Permit Inspection,Permits & Licensing,High,Midtown,21.0,4.6,True
REQ000142,CIT00277,2024-08-28,Pothole Repair,Public Works,Critical,Southside,11.8,2.3,False
REQ000143,CIT00115,2024-01-27,Trail Repair,Parks & Recreation,Low,Eastgate,148.1,4.0,True
REQ000144,CIT00021,2024-11-28,Trash Collection,Environmental Services,Medium,Southside,101.7,2.5,True
REQ000145,CIT00103,2024-01-16,Sewer Backup,Utilities,Critical,Downtown,10.4,3.1,True
REQ000146,CIT00079,2024-01-11,Service Connection,Utilities,High,Riverside,32.9,3.5,True
REQ000147,CIT00243,2024-05-02,Crosswalk Request,Transportation,High,Eastgate,20.2,4.6,False
REQ000148,CIT00289,2024-12-08,Permit Application,Permits & Licensing,Medium,Riverside,63.2,4.5,False
REQ000149,CIT00132,2024-04-21,Meter Reading,Utilities,High,Lakewood,33.4,2.6,True
REQ000150,CIT00059,2024-07-07,Sewer Backup,Utilities,Critical,Eastgate,11.4,1.3,True
REQ000151,CIT00056,2024-03-24,Water Quality,Utilities,Medium,Highland,67.8,3.7,True
REQ000152,CIT00160,2024-10-23,Water Main Break,Utilities,Medium,Lakewood,80.8,4.2,False
REQ000153,CIT00204,2024-10-21,Road Damage,Public Works,Low,Industrial,304.5,3.3,True
REQ000154,CIT00125,2024-04-11,Permit Application,Permits & Licensing,Medium,Westbrook,76.9,3.7,True
REQ000155,CIT00062,2024-02-22,Trail Repair,Parks & Recreation,Critical,Riverside,7.9,2.9,True
REQ000156,CIT00178,2024-10-16,Pothole Repair,Public Works,Medium,Downtown,91.7,3.4,False
REQ000157,CIT00190,2024-09-29,Meter Reading,Utilities,Low,Midtown,311.4,2.7,True
REQ000158,CIT00175,2024-02-05,Tree Trimming,Parks & Recreation,High,Harbor,16.6,4.6,False
REQ000159,CIT00251,2024-01-07,Parking Issue,Transportation,High,Downtown,24.1,3.6,False
REQ000160,CIT00186,2024-02-24,Hazardous Waste,Environmental Services,High,University,15.1,4.4,True
REQ000161,CIT00079,2024-11-21,Facility Booking,Parks & Recreation,Low,Westbrook,178.0,3.6,True
REQ000162,CIT00268,2024-08-10,Street Light Outage,Public Works,Critical,Industrial,13.2,1.4,True
REQ000163,CIT00276,2024-11-29,Construction Complaint,Building & Safety,Low,Northside,148.0,4.3,True
REQ000164,CIT00224,2024-09-04,Meter Reading,Utilities,Low,Northside,294.7,2.6,True
REQ000165,CIT00166,2024-10-30,Zoning Issue,Code Enforcement,Low,Downtown,224.7,3.8,True
REQ000166,CIT00143,2024-05-05,Trash Collection,Environmental Services,Low,Riverside,229.2,2.6,True
REQ000167,CIT00238,2024-08-18,Playground Equipment,Parks & Recreation,Medium,Downtown,81.1,3.8,False
REQ000168,CIT00195,2024-10-18,Storm Drain Issue,Public Works,Medium,Westbrook,100.2,3.1,True
REQ000169,CIT00254,2024-06-21,Trash Collection,Environmental Services,High,Southside,39.3,3.5,False
REQ000170,CIT00250,2024-06-15,Safety Violation,Building & Safety,Medium,Westbrook,101.4,3.0,True
REQ000171,CIT00133,2024-04-18,Zoning Issue,Code Enforcement,Medium,Midtown,77.3,3.8,True
REQ000172,CIT00142,2024-06-23,Illegal Dumping,Environmental Services,Low,Northside,325.5,2.7,True
REQ000173,CIT00265,2024-10-11,Water Main Break,Utilities,High,Highland,20.3,4.6,True
REQ000174,CIT00124,2024-04-07,Water Main Break,Utilities,Medium,Riverside,61.3,3.8,True
REQ000175,CIT00285,2024-07-27,Road Damage,Public Works,High,Southside,58.6,1.9,True
REQ000176,CIT00252,2024-05-03,Property Assessment,Building & Safety,High,Southside,17.6,4.8,True
REQ000177,CIT00048,2024-08-17,Pothole Repair,Public Works,Medium,Northside,63.7,4.4,True
REQ000178,CIT00208,2024-05-30,Playground Equipment,Parks & Recreation,Low,Midtown,291.2,3.1,True
REQ000179,CIT00157,2024-12-20,Street Light Outage,Public Works,High,Southside,17.6,4.9,True
REQ000180,CIT00189,2024-12-05,Tree Trimming,Parks & Recreation,Low,Northside,316.2,3.0,True
REQ000181,CIT00272,2024-08-30,Composting Program,Environmental Services,Low,Westbrook,212.9,4.1,False
REQ000182,CIT00282,2024-06-25,Hazardous Waste,Environmental Services,Medium,Midtown,60.3,3.5,True
REQ000183,CIT00233,2024-06-18,Construction Complaint,Building & Safety,Medium,Highland,113.6,3.0,True
REQ000184,CIT00129,2024-05-18,Sidewalk Repair,Public Works,Low,Riverside,214.6,4.3,True
REQ000185,CIT00099,2024-04-28,Pothole Repair,Public Works,Medium,Northside,51.6,4.7,True
REQ000186,CIT00275,2024-06-10,Water Main Break,Utilities,High,Northside,25.7,4.3,True
REQ000187,CIT00099,2024-12-19,Recycling Issue,Environmental Services,Low,Industrial,206.0,4.1,False
REQ000188,CIT00142,2024-04-20,Property Assessment,Building & Safety,Low,Downtown,298.6,3.0,True
REQ000189,CIT00145,2024-10-28,Tree Trimming,Parks & Recreation,Medium,Downtown,117.2,3.2,False
REQ000190,CIT00152,2024-02-21,Playground Equipment,Parks & Recreation,Medium,Lakewood,70.9,4.3,False
REQ000191,CIT00092,2024-04-26,Zoning Issue,Code Enforcement,High,Southside,28.5,3.5,True
REQ000192,CIT00274,2024-06-03,Trash Collection,Environmental Services,Medium,Harbor,77.7,3.6,True
REQ000193,CIT00024,2024-03-05,Trail Repair,Parks & Recreation,Medium,Midtown,115.4,2.7,True
REQ000194,CIT00150,2024-01-28,Event Permit,Permits & Licensing,Low,Downtown,155.2,4.6,True
REQ000195,CIT00252,2024-12-23,License Renewal,Permits & Licensing,Medium,Westbrook,65.8,4.0,True
REQ000196,CIT00294,2024-02-22,Trash Collection,Environmental Services,High,Riverside,44.6,3.3,True
REQ000197,CIT00246,2024-05-25,Road Damage,Public Works,Low,Northside,263.3,2.9,True
REQ000198,CIT00095,2024-08-13,Zoning Issue,Code Enforcement,High,University,23.3,4.2,True
REQ000199,CIT00245,2024-01-27,Sidewalk Repair,Public Works,Low,Southside,266.0,2.6,True
REQ000200,CIT00206,2024-02-28,Traffic Signal Issue,Transportation,High,Westbrook,22.8,4.1,True
REQ000201,CIT00296,2024-09-08,Pothole Repair,Public Works,Low,Riverside,314.9,2.8,True
REQ000202,CIT00078,2024-11-18,Water Main Break,Utilities,Critical,Midtown,7.7,3.2,False
REQ000203,CIT00044,2024-03-17,Construction Complaint,Building & Safety,Medium,Downtown,107.5,3.3,True
REQ000204,CIT00286,2024-05-07,Water Main Break,Utilities,High,Downtown,47.3,1.3,True
REQ000205,CIT00116,2024-08-01,Service Connection,Utilities,High,Downtown,35.7,3.0,True
REQ000206,CIT00231,2024-09-24,Road Damage,Public Works,Medium,Southside,144.0,2.5,True
REQ000207,CIT00220,2024-08-14,Permit Inspection,Permits & Licensing,Medium,Southside,52.4,4.7,True
REQ000208,CIT00031,2024-06-05,Tree Trimming,Parks & Recreation,Medium,Southside,99.3,3.3,False
REQ000209,CIT00107,2024-11-08,Traffic Signal Issue,Transportation,High,Southside,45.0,1.3,True
REQ000210,CIT00136,2024-11-16,Crosswalk Request,Transportation,Medium,Midtown,63.9,3.9,True
REQ000211,CIT00081,2024-12-04,Noise Complaint,Code Enforcement,Medium,Westbrook,69.8,4.4,True
REQ000212,CIT00283,2024-05-02,License Renewal,Permits & Licensing,Medium,Riverside,50.4,4.5,True
REQ000213,CIT00002,2024-02-08,Street Light Outage,Public Works,Critical,Harbor,9.2,2.6,True
REQ000214,CIT00241,2024-07-28,Road Damage,Public Works,Medium,University,95.6,2.6,True
REQ000215,CIT00119,2024-05-29,Water Main Break,Utilities,High,Midtown,41.3,3.1,True
REQ000216,CIT00233,2024-05-27,Trail Repair,Parks & Recreation,Low,Southside,251.6,3.2,True
REQ000217,CIT00136,2024-02-06,Safety Violation,Building & Safety,Medium,Northside,107.6,2.5,True
REQ000218,CIT00102,2024-11-16,Storm Drain Issue,Public Works,High,Riverside,20.3,4.5,True
REQ000219,CIT00279,2024-08-05,Permit Application,Permits & Licensing,Low,Midtown,321.8,3.4,True
REQ000220,CIT00137,2024-04-25,Sewer Backup,Utilities,High,Industrial,37.4,2.9,True
REQ000221,CIT00031,2024-03-13,Noise Complaint,Code Enforcement,Low,Midtown,236.7,3.3,True
REQ000222,CIT00292,2024-03-25,Construction Complaint,Building & Safety,Critical,Southside,11.9,1.8,True
REQ000223,CIT00064,2024-05-27,Meter Reading,Utilities,Medium,Downtown,67.6,3.5,False
REQ000224,CIT00207,2024-08-27,Permit Inspection,Permits & Licensing,Medium,Lakewood,72.9,4.2,True
REQ000225,CIT00277,2024-05-19,Event Permit,Permits & Licensing,Medium,Industrial,87.0,2.5,True
REQ000226,CIT00042,2024-09-09,Meter Reading,Utilities,Medium,Downtown,115.6,2.7,True
REQ000227,CIT00222,2024-11-02,Park Maintenance,Parks & Recreation,Medium,Riverside,78.0,3.7,True
REQ000228,CIT00129,2024-06-14,Bike Lane Request,Transportation,High,Midtown,15.0,4.4,True
REQ000229,CIT00118,2024-01-14,Pothole Repair,Public Works,Medium,Riverside,59.7,3.7,True
REQ000230,CIT00011,2024-12-11,Graffiti Removal,Code Enforcement,Critical,Downtown,4.3,4.9,False
REQ000231,CIT00296,2024-12-10,Bus Stop Concern,Transportation,Low,Downtown,244.0,2.9,True
REQ000232,CIT00241,2024-01-21,Sewer Backup,Utilities,Low,Industrial,188.4,4.1,True
REQ000233,CIT00143,2024-09-22,Business License,Permits & Licensing,Medium,Southside,107.2,3.4,True
REQ000234,CIT00224,2024-04-02,Bike Lane Request,Transportation,Low,Eastgate,299.8,3.3,True
REQ000235,CIT00047,2024-11-21,Facility Booking,Parks & Recreation,High,University,15.4,4.5,True
REQ000236,CIT00210,2024-08-28,Zoning Issue,Code Enforcement,Low,Northside,282.5,2.6,True
REQ000237,CIT00054,2024-06-19,Bus Stop Concern,Transportation,Medium,Eastgate,86.2,2.7,True
REQ000238,CIT00211,2024-03-23,Illegal Dumping,Environmental Services,High,Northside,17.4,4.3,True
REQ000239,CIT00148,2024-12-21,Parking Issue,Transportation,Medium,Downtown,50.5,4.4,True
REQ000240,CIT00282,2024-12-05,Road Damage,Public Works,Medium,Southside,141.8,1.4,True
REQ000241,CIT00046,2024-01-19,Parking Issue,Transportation,Low,Lakewood,298.4,3.2,False
REQ000242,CIT00166,2024-06-10,Construction Complaint,Building & Safety,Low,Lakewood,197.9,4.2,True
REQ000243,CIT00264,2024-02-29,Road Damage,Public Works,Critical,Northside,11.9,2.5,True
REQ000244,CIT00237,2024-01-01,Service Connection,Utilities,Medium,Midtown,68.8,4.0,True
REQ000245,CIT00097,2024-07-30,Traffic Signal Issue,Transportation,High,Southside,40.5,2.7,False
REQ000246,CIT00256,2024-09-22,Water Quality,Utilities,High,Riverside,40.1,2.5,True
REQ000247,CIT00027,2024-11-16,Road Damage,Public Works,High,Harbor,24.0,4.3,True
REQ000248,CIT00282,2024-04-14,Zoning Issue,Code Enforcement,Low,Downtown,331.5,3.2,False
